101|ACCT_AUDIT_MGR|en|Y|Expense Processor (Audit)|Can view but not update and delete, reports in Expense Processor.||Jun 21 2005  3:52PM
101|ACCT_CLERK|en|Y|Expense Processor|Can view and update reports in Expense Processor. Cannot delete.||Jun 21 2005  3:48PM
101|ACCT_MANAGER|en|Y|Expense Processor Manager|Can view, update, and delete reports in Expense Processor.||Jun 21 2005  3:48PM
101|AC_LISTNG_ADMIN|en|Y|App Center Listing Administrator|Can manage App Center listings.||Mar 19 2016  2:21AM
101|AMADEUS_USER|en|Y|Amadeus User|Amadeus user.||Aug 21 2010  5:36AM
101|ATTN_ADMIN|en|Y|Attendee Administrator|Can view and update attendees.||Mar 24 2012  1:54AM
101|ATTN_ADMIN_RO|en|Y|Attendee Administrator (Read Only)|Can view attendees.||Mar 24 2012  1:54AM
101|AUTH_APPROVER|en|Y|Authorized Approver|Can approve, with a specified limit, specific expense reports.||Jun 21 2005  3:48PM
101|BDGT_APPROVER|en|Y|Budget Approver|Can approve, with a specified limit, specific budgets.||Jun 23 2012  1:42AM
101|BILLNG_ATTR|en|Y|Billing Attributes User|Can manage billing related settings for the entity.||Feb  8 2014  5:05AM
101|BI_ADMIN|en|Y|Consolidation Configuration Administrator|Can view and update settings for Consolidation Configuration.||Jun 21 2005  3:50PM
101|BUDGET_ADMIN|en|Y|Budget Administrator|Can create and update budget periods and assignments.||Sep 15 2012  2:07AM
101|BUDGET_OWNER|en|Y|Budget Owner|Can own a budget.||Oct 15 2016  1:31AM
101|BUDGET_VIEWER|en|Y|Budget Viewer|Can view budget information.||Oct 15 2016  1:31AM
101|CARD_ADMIN|en|Y|Expense Company Card Administrator|Can administer company cards for users, in addition to viewing the import logs.||Jun 21 2005  3:48PM
101|CASHADV_ADMIN|en|Y|Expense Cash Advance Administrator|Can issue, view, and cancel cash advances.||Jun 21 2005  3:48PM
101|CLIQBOOK_USER|en|Y|Cliqbook User|Can integrate with Cliqbook service||Sep 30 2006 12:45AM
101|CNQR_INVC|en|Y|Invoice Full User|Can access Invoice Processing only.  Does not have access to Concur Vendor Payment.||Jan 22 2011  2:17AM
101|CNQR_INVC_PILOT|en|Y|Invoice Pilot User|Can access both Invoice Processing and Concur Vendor Payment Classic.||Jan 22 2011  2:17AM
101|CNTRL_RECEIVING|en|Y|Central Receiver|Can add/update/delete receipts for purchase orders.||Jul 30 2017 12:11AM
101|COG_HIST_DATA|en|Y|Cognos Hist Data Access|Cognos Hist Data Access.||Dec 13 2014  4:59AM
101|CONCUR_AUDITOR|en|Y|Expense Processor(Expense Report Auditing)|Can audit reports from within Expense Report Auditing Service.||Dec 18 2010  2:14AM
101|CO_APPROVER|en|Y|Cost Object Approver|Can approve, with a specified limit or level, specific cost objects.||Jan 17 2009  7:36AM
101|CR_PROCESSOR|en|Y|Central Reconciliation Processor|Can process (approve) Central Reconciliations.||Feb 26 2011  2:04AM
101|DASHBOARD_USER|en|Y|Dashboard User|Can perform Expense control and compliance reporting for your company||Mar 20 2010  4:40AM
101|DESKTOP_ADMIN|en|Y|Company Info Administrator|Can view and update settings for the Company Info section of the My Concur page.||Jul 23 2011  1:22AM
101|EFT_AUDITOR|en|Y|Reimbursement Auditor|Can view Reimbursement Auditor.||May 10 2008 12:48AM
101|EFT_MANAGER|en|Y|Reimbursement Manager|Can view and edit Reimbursement Manager.||May 10 2008 12:48AM
101|EMPLOYEE_ADMIN|en|Y|Employee Administrator|Can create, view, update, and remove employees, expense and payment preferences, and roles for Expense.||Dec 18 2010  2:14AM
101|EMPLOYEE_MAINT|en|Y|Employee Maintenance|Can view and update employees, expense and payment preferences for Concur Expense.||Jul 23 2011  1:22AM
