101|002000|en|Y|Final Accounting Approval|Accounting Approval|Report is pending accounting approval||Oct 13 2007  4:51AM
101|002001|en|Y|Disputed|Dispute|Mark this invoice as disputed in the workflow, waiting for CR Processor and Issuer to solve the situation.||Jan 21 2012  3:31AM
101|A_AAFH|en|Y|Anomaly & Fraud Check|Anomaly & Fraud Check|Report submission triggers Anomaly & Fraud Check||May 18 2013  1:35AM
101|A_ACCO|en|Y|Approved & In Accounting Review|Accounting Review|Report is pending reviews||Nov  3 2005  7:11PM
101|A_APPR|en|Y|Approved|Approve|Report has been approved||Jun 21 2005  3:48PM
101|A_EXTV|en|Y|Pending External Validation|Pending External Validation|Report is pending external validation||Sep 18 2010  3:30AM
101|A_FILE|en|Y|Submitted|Submitted|Report has been submitted||Jun 21 2005  3:48PM
101|A_NOTF|en|Y|Not Submitted|Not Submitted|Report has not been submitted||Jun 21 2005  3:48PM
101|A_PBDG|en|Y|Pending Budget Approval|Pending Budget Approval|Report approval is pending Budget approval||Jun 23 2012  1:42AM
101|A_PECO|en|Y|Pending Cost Object Approval|Pending Cost Object Approval|Report approval is pending Cost object approval||Jan 17 2009  7:36AM
101|A_PEND|en|Y|Submitted & Pending Approval|Pending Approval|Report is pending manager approval||Nov  3 2005  7:11PM
101|A_PFIL|en|Y|Presubmit Validation|Validate Before Submit|Validate the report prior to submit||Mar 19 2017 12:43AM
101|A_PREC|en|Y|Recalled to Processor|Recall to Processor|Report is recalled by processor||Mar 19 2017 12:43AM
101|A_PVAL|en|Y|Pending Validation|Pending Validation|Report is pending prepayment validation||Jun 21 2005  3:48PM
101|A_RESU|en|Y|Sent Back to Employee|Send Back to Employee|Report needs to be resubmitted||Jun 21 2005  3:50PM
101|A_RHLD|en|Y|Hold for Receipt Image|Hold for Receipt Image|Report submission is pending receipt images||Mar 15 2008  1:00AM
101|A_TEXP|en|Y|Approval Time Expired|Approval Time Expired|Report expired in approval queue||Jun 21 2005  3:52PM
101|A_TREC|en|Y|Recalled by Traveler|Recall|Report is recalled by traveler||Mar 19 2017 12:43AM
101|C_APPR|en|Y|Approved|Approve|Cash Advance has been Approved||Jun 21 2005  3:48PM
101|C_COMP|en|Y|Completed|Complete|Cash Advance is completed||Jun 21 2005  3:48PM
101|C_FILE|en|Y|Filed|File|Cash Advance has been submitted||Jun 21 2005  3:48PM
101|C_ISSU|en|Y|Issued|Issue|Cash Advance has been issued||Jun 21 2005  3:48PM
101|C_NISU|en|Y|Not Issued|Do not Issue|Cash Advance has been cancelled||Jun 21 2005  3:48PM
101|C_NOTF|en|Y|Not Submitted|Not Submitted|Cash Advance has not been submitted||Jan 18 2014  4:57AM
101|C_PECA|en|Y|Pending Expense Cash Advance Administrator|Pending Expense Cash Advance Administrator|Cash Advance is pending Expense Cash Advance Administrator||Jun 21 2005  3:48PM
101|C_PEND|en|Y|Pending Approval|Pending Approval|Cash Advance is pending manager approval||Jun 21 2005  3:48PM
101|C_REJE|en|Y|Sent Back to Employee|Reject|Cash Advance has been Rejected||Jan 18 2014  4:58AM
101|P_FAIL|en|Y|Financial Posting Failed|Financial Posting Failed|Financial posting failed for the report||Feb 20 2016  3:27AM
101|P_HOLD|en|Y|Holding Payment|Hold Payment|Report payment is on hold||Jun 21 2005  3:50PM
101|P_NOTP|en|Y|Not Paid|Not Paid|Report has not been paid||Jun 21 2005  3:48PM
101|P_PAID|en|Y|Extracted for Payment|Transmitted|Report has been submitted for payment||Sep 29 2006  3:16AM
101|P_PAYC|en|Y|Payment Confirmed|Payment Confirmed|Some or all of the report expenses have been paid||Mar 17 2007  1:49AM
101|P_PROC|en|Y|Processing Payment|Process Payment|Report is in process to be paid||Jun 21 2005  3:48PM
101|Q_APPR|en|Y|Approved|Approve|Request has been approved||Oct 16 2010  1:31AM
101|Q_CANC|en|Y|Cancelled|Cancelled|This request is cancelled||Oct 22 2011  4:01AM
101|Q_EXTV|en|Y|Pending External Validation|Pending External Validation|Request is pending external validation||Jun 23 2012  1:42AM
101|Q_FILE|en|Y|Submitted|Submitted|Request has been submitted||Aug 21 2010  5:36AM
101|Q_NOTF|en|Y|Not Submitted|Not submitted|Request has not been submitted||Jun 18 2011  1:30AM
101|Q_PBDG|en|Y|Pending Budget Approval|Pending Budget Approval|Request approval is pending Budget approval||Jun 23 2012  1:42AM
101|Q_PEBK|en|Y|Approved - Pending Booking|Approved - Pending Booking|Resquest is approved - Pending Booking||May 17 2014  2:22AM
101|Q_PECO|en|Y|Pending Cost Object Approval|Pending Cost Object Approval|Request approval is pending Cost object approval||Jun 23 2012  1:42AM
101|Q_PEND|en|Y|Submitted & Pending Approval|Submitted & Pending Approval|Request is pending manager approval||Aug 21 2010  5:36AM
101|Q_RESU|en|Y|Sent Back to Employee|Sent Back to Employee|Request needs to be resubmitted||Aug 21 2010  5:36AM
101|Q_TEXP|en|Y|Approval Time Expired|Approval Time Expired|Request expired in approval queue||Aug 21 2010  5:36AM
