101|01000|en|Y|Meals (Breakfast/Lunch/Dinner)|||Oct 13 2007  4:48AM
101|01020|en|Y|Applicant|||Dec 18 2007  9:05PM
101|01021|en|Y|Tuition|||Dec 18 2007  9:05PM
101|01022|en|Y|Tuition Expenses|||Dec 18 2007  9:05PM
101|01023|en|Y|Outside Services - Professional|||Aug 12 2013 10:54PM
101|01024|en|Y|Employee Morale|||Dec 18 2007  9:06PM
101|01025|en|Y|Staff Time (Fairchild employees only)|||Dec 18 2007  9:06PM
101|01040|en|Y|Employee housing - Travel|||Dec 21 2007 12:23AM
101|01041|en|Y|Expendable Equipment & Fixtures|||Jul  1 2008  6:44PM
101|01042|en|Y|Outside Svcs-Maint-Struct|||Jul  1 2008  6:44PM
101|01043|en|Y|Supplies-Technical Training|||Jul  1 2008  6:45PM
101|01044|en|Y|Supplies-General Operating|||Jul  1 2008  6:45PM
101|01045|en|Y|Supplies-Maintenance-General|||Jul  1 2008  6:45PM
101|01051|en|Y|Personnel Expense - Misc|||Sep 22 2009  6:38PM
101|01052|en|Y|Medical Expense|||Sep 22 2009  6:33PM
101|01053|en|Y|Foreign Based Personnel Expense|||Sep 22 2009  6:33PM
101|01054|en|Y|Outside Technical Training|||Sep 22 2009  6:33PM
101|01061|en|Y|Medical Claims - Dependents (Sgpore)|||Mar  4 2010  5:31PM
101|01071|en|Y|Recruiting|||Apr 15 2010  6:41PM
101|01072|en|Y|Public Relations|||Apr 15 2010  6:41PM
101|01081|en|Y|Immigration & Visa Expenses|||Aug 19 2010  2:16AM
101|01082|en|Y|Business License Fees & Taxes|||Aug 19 2010  2:17AM
101|01083|en|Y|VAT - T&E expenses|||Aug 25 2010  2:07PM
101|01084|en|Y|Water Bill|||May 15 2013  1:10AM
101|01085|en|Y|Outside Services - General|||Aug 12 2013 10:55PM
101|01086|en|Y|Mileage|||Apr 23 2014  3:54PM
101|01087|en|Y|Cafeteria|||Jul  6 2015  1:54PM
101|01088|en|Y|Late Payment Fee |||Jul 29 2015  2:53PM
101|01089|en|Y|Cash Rebate|||Aug  4 2015  4:04PM
101|01090|en|Y|Gratuity/Tip|||Nov 10 2015  9:53AM
101|01091|en|Y|PCIM|||Dec 14 2015  4:15PM
101|AIRFR|en|Y|Airfare|Eligible for Prepop. All charges with the SIC code for airlines will map to this expense type. Origin/Destination functionality. Ticket Number is an available field definition. Predefined vendor list.||Jun 21 2005  3:50PM
101|AIRTX|en|Y|Airfare Ticket Tax|||Jun 21 2005  3:50PM
101|AWRDS|en|Y|Awards (recipients)|||Dec 18 2007  9:04PM
101|BANKF|en|Y|Bank Fees|||Jan 14 2008  7:36PM
